Unit,Site,AQS ID,Latitude,Longitude,Y,X,Elevation,Parameter,Start,End,active,Years,Period,Interval,Measurement Scale,Operating Agency,Network,Network Site Abbr
Death Valley National Park                                                                                                                                                                                                                                ,Park Village,06-027-0101,36.5092,-116.8481,-162846.714709182,281872.505521355,125,Ozone                                             ,01/01/2008,04/30/2019,no,11,year-round,1-hour average,default,NPS,NPS-GPMP,DEVA-PV
Sequoia/Kings Canyon National Parks,Ash Mountain,06-107-1001,36.4989,-118.8239,-168024.685000773,105208.787975654,521,Ozone                                             ,01/01/1982,12/31/1991,no,9,year-round,1-hour average,default,NPS,NPS-GPMP,SEKI-AS
Sequoia/Kings Canyon National Parks,Ash Mountain,06-107-1001,36.4989,-118.8239,-168024.685000773,105208.787975654,521,Sulfur Dioxide                                    ,03/04/1992,12/29/07,no,15,year-round,1-hour average,default,NPS,NPS-GPMP,SEKI-AS
Sequoia/Kings Canyon National Parks,Ash Mountain,06-107-1001,36.4989,-118.8239,-168024.685000773,105208.787975654,521,Particulate Matter less than 2.5 microns,03/04/1992,09/30/2001,no,9,year-round,1-hour average,default,NPS,NPS-GPMP,SEKI-AS
Sequoia/Kings Canyon National Parks,Ash Mountain I,06-107-0005,36.4936,-118.8286,-168618.86017794,104795.645213401,610,Ozone                                             ,06/01/1982,10/01/1996,no,14,year-round,1-hour average,neighborhood,NPS,NPS-GPMP,SEAM
Sequoia/Kings Canyon National Parks,Ash Mountain II,06-107-0009,36.4894,-118.8292,-169086.253288373,104747.734804596,510,Particulate Matter less than 2.5 microns,03/19/2007,,yes,19,year-round,1-hour average,regional,NPS,NPS-GPMP,SEKI-AS
Sequoia/Kings Canyon National Parks,Chlorinator-Lodgepole,06-107-0003,36.5953,-118.735,-157209.633486159,113017.99552171,2036,Ozone                                             ,01/01/1982,12/31/1983,no,1,year-round,1-hour average,default,NPS,NPS-GPMP,SEKI-LO
Sequoia/Kings Canyon National Parks,Grant Grove,06-107-0007,36.7397,-118.9611,-141407.092858992,92642.7416942244,2012,Ozone                                             ,12/01/1989,12/31/1995,no,6,year-round,1-hour average,default,NPS,NPS-GPMP,SEGG
Sequoia/Kings Canyon National Parks,Lower Kaweah,06-107-0006,36.5658,-118.7772,-160537.41749896,109290.248286187,1890,Ozone                                             ,06/01/1984,09/30/2013,no,29,year-round,1-hour average,regional,NPS,NPS-GPMP,SEKI-LK
Sequoia/Kings Canyon National Parks,Lower Kaweah,06-107-0006,36.5658,-118.7772,-160537.41749896,109290.248286187,1890,Ozone                                             ,05/01/2014,08/11/2024,no,10,summer ozone season,1-hour average,regional,NPS,NPS-GPMP,SEKI-LK
Sequoia/Kings Canyon National Parks,Sequoia NP-Lookout Point Ranger Station ,06-107-0008,36.429113,-118.76343,-175710.863152745,110719.024629968,0,Ozone                                             ,02/01/97,12/31/04,no,7,,1-hour average,default,NPS,,
Yosemite National Park                                                                                                                                                                                                                                    ,Camp Mather,06-109-0004,37.8914,-119.8406,-13880.2430798747,13999.3516195803,1445,Ozone                                             ,02/01/1988,10/01/1995,no,7,year-round,1-hour average,default,NPS,NPS-GPMP,YOCM
Yosemite National Park                                                                                                                                                                                                                                    ,Camp Mather,06-109-0004,37.8914,-119.8406,-13880.2430798747,13999.3516195803,1445,Ozone                                             ,05/01/1996,08/01/1996,no,<1,seasonal,1-hour average,default,NPS,NPS-GPMP,YOCM
Yosemite National Park                                                                                                                                                                                                                                    ,Merced River,06-043-0033,37.7431,-119.5939,-30301.5178687917,35736.3746152127,1219,Carbon Monoxide                                   ,06/01/2003,12/31/2005,no,2,year-round,1-hour average,default,NPS,NPS-GPMP,YOMR
Yosemite National Park                                                                                                                                                                                                                                    ,Merced River,06-043-0033,37.7431,-119.5939,-30301.5178687917,35736.3746152127,1219,Nitric Oxide,08/01/2002,12/31/2005,no,3,year-round,1-hour average,default,NPS,NPS-GPMP,YOMR
Yosemite National Park                                                                                                                                                                                                                                    ,Merced River,06-043-0033,37.7431,-119.5939,-30301.5178687917,35736.3746152127,1219,Nitrogen Dioxide                                  ,08/01/2002,12/31/2005,no,3,year-round,1-hour average,default,NPS,NPS-GPMP,YOMR
Yosemite National Park                                                                                                                                                                                                                                    ,Merced River,06-043-0033,37.7431,-119.5939,-30301.5178687917,35736.3746152127,1219,Oxides of Nitrogen                                ,08/01/2002,12/31/2005,no,3,year-round,1-hour average,default,NPS,NPS-GPMP,YOMR
