Camera,Site ID,Organization,Active Status,Online Status,County,Colocated Cameras,Longitude ,Latitude,Camera URL,Network URL,Image URL
Miami Peak 1,miamipeak,alertcalifornia,active,online,Mariposa,Miami Peak 2,-119.74,37.41,https://cameras.alertcalifornia.org/?id=Axis-MiamiPeak1,https://cameras.alertcalifornia.org/?pos=37.41_-119.74_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MiamiPeak1/latest-frame.jpg
Miami Peak 2,miamipeak,alertcalifornia,active,online,Mariposa,Miami Peak 1,-119.74,37.41,https://cameras.alertcalifornia.org/?id=Axis-MiamiPeak2,https://cameras.alertcalifornia.org/?pos=37.41_-119.74_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MiamiPeak2/latest-frame.jpg
Deadwood Mtn. 1,deadwood,alertcalifornia,active,online,Madera,Deadwood Mtn. 2,-119.68,37.31,https://cameras.alertcalifornia.org/?id=Axis-Deadwood,https://cameras.alertcalifornia.org/?pos=37.31_-119.68_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Deadwood/latest-frame.jpg
Deadwood Mtn. 2,deadwood,alertcalifornia,active,online,Madera,Deadwood Mtn. 1,-119.68,37.31,https://cameras.alertcalifornia.org/?id=Axis-Deadwood2,https://cameras.alertcalifornia.org/?pos=37.31_-119.68_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Deadwood2/latest-frame.jpg
Goat Mtn. Lookout 1,goatmtnlookout,alertcalifornia,active,online,Madera,Goat Mtn. Lookout 2,-119.55,37.27,https://cameras.alertcalifornia.org/?id=Axis-GoatMtnLookout1,https://cameras.alertcalifornia.org/?pos=37.27_-119.55_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-GoatMtnLookout1/latest-frame.jpg
Goat Mtn. Lookout 2,goatmtnlookout,alertcalifornia,active,online,Madera,Goat Mtn. Lookout 1,-119.55,37.27,https://cameras.alertcalifornia.org/?id=Axis-GoatMtnLookout2,https://cameras.alertcalifornia.org/?pos=37.27_-119.55_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-GoatMtnLookout2/latest-frame.jpg
North Fork 1,northfork,alertcalifornia,active,online,Madera,North Fork 2,-119.51,37.22,https://cameras.alertcalifornia.org/?id=Axis-NorthFork1,https://cameras.alertcalifornia.org/?pos=37.22_-119.51_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-NorthFork1/latest-frame.jpg
North Fork 2,northfork,alertcalifornia,active,online,Madera,North Fork 1,-119.51,37.22,https://cameras.alertcalifornia.org/?id=Axis-NorthFork2,https://cameras.alertcalifornia.org/?pos=37.22_-119.51_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-NorthFork2/latest-frame.jpg
Red Top 1,redtop,alertcalifornia,active,online,Madera,Red Top 2,-119.77,37.12,https://cameras.alertcalifornia.org/?id=Axis-RedTop1,https://cameras.alertcalifornia.org/?pos=37.12_-119.77_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-RedTop1/latest-frame.jpg
Red Top 2,redtop,alertcalifornia,active,online,Madera,Red Top 1,-119.77,37.12,https://cameras.alertcalifornia.org/?id=Axis-RedTop2,https://cameras.alertcalifornia.org/?pos=37.12_-119.77_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-RedTop2/latest-frame.jpg
Huntington Lake 1,huntingtonlake,alertcalifornia,active,online,Fresno,Huntington Lake 2,-119.23,37.21,https://cameras.alertcalifornia.org/?id=Axis-HuntingtonLake1,https://cameras.alertcalifornia.org/?pos=37.21_-119.23_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-HuntingtonLake1/latest-frame.jpg
Huntington Lake 2,huntingtonlake,alertcalifornia,active,online,Fresno,Huntington Lake 1,-119.23,37.21,https://cameras.alertcalifornia.org/?id=Axis-HuntingtonLake2,https://cameras.alertcalifornia.org/?pos=37.21_-119.23_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-HuntingtonLake2/latest-frame.jpg
Meadow Lakes 1,meadowlakes,alertcalifornia,active,online,Fresno,Meadow Lakes 2,-119.42,37.06,https://cameras.alertcalifornia.org/?id=Axis-MeadowLakes,https://cameras.alertcalifornia.org/?pos=37.06_-119.42_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MeadowLakes/latest-frame.jpg
Meadow Lakes 2,meadowlakes,alertcalifornia,active,online,Fresno,Meadow Lakes 1,-119.42,37.06,https://cameras.alertcalifornia.org/?id=Axis-MeadowLakes2,https://cameras.alertcalifornia.org/?pos=37.06_-119.42_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MeadowLakes2/latest-frame.jpg
Owens Mtn. 1,owensmtn,alertcalifornia,active,online,Fresno,Owens Mtn. 2,-119.64,36.92,https://cameras.alertcalifornia.org/?id=Axis-OwensMtn,https://cameras.alertcalifornia.org/?pos=36.92_-119.64_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-OwensMtn/latest-frame.jpg
Owens Mtn. 2,owensmtn,alertcalifornia,active,online,Fresno,Owens Mtn. 1,-119.64,36.92,https://cameras.alertcalifornia.org/?id=Axis-OwensMtn2,https://cameras.alertcalifornia.org/?pos=36.92_-119.64_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-OwensMtn2/latest-frame.jpg
Fence Meadow Lookout 1,fencemeadowlookout,alertcalifornia,active,online,Fresno,Fence Meadow Lookout 2,-119.17,36.96,https://cameras.alertcalifornia.org/?id=Axis-FenceMeadowLookout1,https://cameras.alertcalifornia.org/?pos=36.96_-119.17_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-FenceMeadowLookout1/latest-frame.jpg
Fence Meadow Lookout 2,fencemeadowlookout,alertcalifornia,active,online,Fresno,Fence Meadow Lookout 1,-119.17,36.96,https://cameras.alertcalifornia.org/?id=Axis-FenceMeadowLookout2,https://cameras.alertcalifornia.org/?pos=36.96_-119.17_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-FenceMeadowLookout2/latest-frame.jpg
Round Mtn. (Fresno) 1,roundmtnfresno,alertcalifornia,active,online,Fresno,Round Mtn. (Fresno) 2,-119.51,36.81,https://cameras.alertcalifornia.org/?id=Axis-RoundMtnFresno,https://cameras.alertcalifornia.org/?pos=36.81_-119.51_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-RoundMtnFresno/latest-frame.jpg
Round Mtn. (Fresno) 2,roundmtnfresno,alertcalifornia,active,online,Fresno,Round Mtn. (Fresno) 1,-119.51,36.81,https://cameras.alertcalifornia.org/?id=Axis-RoundMtnFresno2,https://cameras.alertcalifornia.org/?pos=36.81_-119.51_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-RoundMtnFresno2/latest-frame.jpg
Bear Mtn. (Fresno) 1,bearmtnfresno,alertcalifornia,active,online,Fresno,Bear Mtn. (Fresno) 2,-119.28,36.74,https://cameras.alertcalifornia.org/?id=Axis-BearMtnFresno1,https://cameras.alertcalifornia.org/?pos=36.74_-119.28_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BearMtnFresno1/latest-frame.jpg
Bear Mtn. (Fresno) 2,bearmtnfresno,alertcalifornia,active,online,Fresno,Bear Mtn. (Fresno) 1,-119.28,36.74,https://cameras.alertcalifornia.org/?id=Axis-BearMtnFresno2,https://cameras.alertcalifornia.org/?pos=36.74_-119.28_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BearMtnFresno2/latest-frame.jpg
Delilah Lookout 1,delilahlookout,alertcalifornia,active,online,Fresno,Delilah Lookout 2,-119.11,36.8,https://cameras.alertcalifornia.org/?id=Axis-DelilahLookout1,https://cameras.alertcalifornia.org/?pos=36.80_-119.11_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-DelilahLookout1/latest-frame.jpg
Delilah Lookout 2,delilahlookout,alertcalifornia,active,online,Fresno,Delilah Lookout 1,-119.11,36.8,https://cameras.alertcalifornia.org/?id=Axis-DelilahLookout2,https://cameras.alertcalifornia.org/?pos=36.80_-119.11_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-DelilahLookout2/latest-frame.jpg
McKenzie Ridge,mckinzieridge,alertcalifornia,active,online,Fresno,,-119.09,36.76,https://cameras.alertcalifornia.org/?id=Axis-McKinzieRidge,https://cameras.alertcalifornia.org/?pos=36.76_-119.09_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-McKinzieRidge/latest-frame.jpg
Bear Clover 1,bearclover,alertcalifornia,active,online,Fresno,Bear Clover 2,-119.09,36.69,https://cameras.alertcalifornia.org/?id=Axis-BearClover1,https://cameras.alertcalifornia.org/?pos=36.69_-119.09_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BearClover1/latest-frame.jpg
Bear Clover 2,bearclover,alertcalifornia,active,online,Fresno,Bear Clover 1,-119.09,36.69,https://cameras.alertcalifornia.org/?id=Axis-BearClover2,https://cameras.alertcalifornia.org/?pos=36.69_-119.09_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BearClover2/latest-frame.jpg
Todd Eymann Rd 1,toddeymannrd,alertcalifornia,active,online,Fresno,Todd Eymann Rd 2,-119.02,36.7,https://cameras.alertcalifornia.org/?id=Axis-ToddEymannRd1,https://cameras.alertcalifornia.org/?pos=36.70_-119.02_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ToddEymannRd1/latest-frame.jpg
Todd Eymann Rd 2,toddeymannrd,alertcalifornia,active,online,Fresno,Todd Eymann Rd 1,-119.02,36.7,https://cameras.alertcalifornia.org/?id=Axis-ToddEymannRd2,https://cameras.alertcalifornia.org/?pos=36.70_-119.02_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ToddEymannRd2/latest-frame.jpg
Buck Rock 1,buckrock,alertcalifornia,active,online,Tulare,Buck Rock 2,-118.86,36.73,https://cameras.alertcalifornia.org/?id=Axis-BuckRock1,https://cameras.alertcalifornia.org/?pos=36.73_-118.86_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BuckRock1/latest-frame.jpg
Buck Rock 2,buckrock,alertcalifornia,active,online,Tulare,Buck Rock 1,-118.86,36.73,https://cameras.alertcalifornia.org/?id=Axis-BuckRock2,https://cameras.alertcalifornia.org/?pos=36.73_-118.86_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BuckRock2/latest-frame.jpg
Silver Peak 1,silverpeak,alertcalifornia,active,online,Inyo,Silver Peak 2,-118.18,37.41,https://cameras.alertcalifornia.org/?id=Axis-SilverPeak1,https://cameras.alertcalifornia.org/?pos=37.41_-118.18_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-SilverPeak1/latest-frame.jpg
Silver Peak 2,silverpeak,alertcalifornia,active,online,Inyo,Silver Peak 1,-118.18,37.41,https://cameras.alertcalifornia.org/?id=Axis-SilverPeak2,https://cameras.alertcalifornia.org/?pos=37.41_-118.18_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-SilverPeak2/latest-frame.jpg
Marzano Peak 1,marzanopeak,alertcalifornia,active,online,Inyo,Marzano Peak 2,-118.1,37.2,https://cameras.alertcalifornia.org/?id=Axis-MarzanoPeak1,https://cameras.alertcalifornia.org/?pos=37.20_-118.10_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MarzanoPeak1/latest-frame.jpg
Marzano Peak 2,marzanopeak,alertcalifornia,active,online,Inyo,Marzano Peak 1,-118.1,37.2,https://cameras.alertcalifornia.org/?id=Axis-MarzanoPeak2,https://cameras.alertcalifornia.org/?pos=37.20_-118.10_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MarzanoPeak2/latest-frame.jpg
Colvin Mtn. 1,crook,alertcalifornia,active,online,Tulare,Colvin Mtn. 2,-119.15,36.45,https://cameras.alertcalifornia.org/?id=Axis-Crook1,https://cameras.alertcalifornia.org/?pos=36.45_-119.15_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Crook1/latest-frame.jpg
Colvin Mtn. 2,crook,alertcalifornia,active,online,Tulare,Colvin Mtn. 1,-119.15,36.45,https://cameras.alertcalifornia.org/?id=Axis-Crook2,https://cameras.alertcalifornia.org/?pos=36.45_-119.15_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Crook2/latest-frame.jpg
Rocky Hill 1,rockyhill,alertcalifornia,active,online,Tulare,Rocky Hill 2,-119.08,36.28,https://cameras.alertcalifornia.org/?id=Axis-RockyHill,https://cameras.alertcalifornia.org/?pos=36.28_-119.08_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-RockyHill/latest-frame.jpg
Rocky Hill 2,rockyhill,alertcalifornia,active,online,Tulare,Rocky Hill 1,-119.08,36.28,https://cameras.alertcalifornia.org/?id=Axis-RockyHill2,https://cameras.alertcalifornia.org/?pos=36.28_-119.08_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-RockyHill2/latest-frame.jpg
Blue Ridge 1,blueridge,alertcalifornia,active,online,Tulare,Blue Ridge 2,-118.83,36.28,https://cameras.alertcalifornia.org/?id=Axis-BlueRidge1,https://cameras.alertcalifornia.org/?pos=36.28_-118.83_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BlueRidge1/latest-frame.jpg
Blue Ridge 2,blueridge,alertcalifornia,active,online,Tulare,Blue Ridge 1,-118.83,36.28,https://cameras.alertcalifornia.org/?id=Axis-BlueRidge2,https://cameras.alertcalifornia.org/?pos=36.28_-118.83_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BlueRidge2/latest-frame.jpg
Jordan Peak 1,jordanpeak,alertcalifornia,active,offline,Tulare,Jordan Peak 2,-118.59,36.18,https://cameras.alertcalifornia.org/?id=Axis-JordanPeak1,https://cameras.alertcalifornia.org/?pos=36.18_-118.59_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-JordanPeak1/latest-frame.jpg
Jordan Peak 2,jordanpeak,alertcalifornia,active,offline,Tulare,Jordan Peak 1,-118.59,36.18,https://cameras.alertcalifornia.org/?id=Axis-JordanPeak2,https://cameras.alertcalifornia.org/?pos=36.18_-118.59_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-JordanPeak2/latest-frame.jpg
Whitney Portal 1,whitneyportal,alertcalifornia,active,online,Inyo,Whitney Portal 2,-118.14,36.59,https://cameras.alertcalifornia.org/?id=Axis-WhitneyPortal1,https://cameras.alertcalifornia.org/?pos=36.59_-118.14_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-WhitneyPortal1/latest-frame.jpg
